productCode,section,category,name,onecname,extraDescription,description,size,color,country,manufacturer,packageSize,characteristics,measureUnit,stock,price,images
00000000328,Пломбировочные материалы,Световые пломбировочные материалы,Набор Нео спектра,Набор Нео Спектра,"Набор нео спектра, светоотверждаемый, композитный материал","Neo Spectra ST LV - это композит низкой вязкости, имеет более пластичную консистенцию, лучше подходит для работы на фронтальных зубах (по сравнению с вязкостью HV), т.к. эта более мягкая консистенция позволяет работать мягкими инструментами (кисти, силиконовые гладилки), распределять, притирать материал и создавать гладкость, необходимую для воссоздания плоских поверхностей фронтальных зубов. Neo Spectra ™ ST LV состоит из 5 универсальных оттенков CLOUD shades (А1, А2, А3, А3,5, А4) усредненной прозрачности, которые перекрывают всю шкалу оттенков VITA® благодаря выраженному эффекту хамелеона и уникальным оптическим характеристикам. Всего 5 оттенков материала Neo Spectra ™ ST LV достаточно для эффективного эстетического решения в подавляющем большинстве клинических случаев. Дополнительный оттенок Bleach White (BW - отбеленный белый), поставляемый только в компьюлах, подходит для реставраций зубов после отбеливания. Композит Neo Spectra ™ ST LV быстро и легко полируется, обладает высокой устойчивостью к окрашиванию, обеспечивает оптимальную эстетику с доказанной долговечностью реставраций.",,,Германия,Dentsply,"5 шприцов
Prime &Bond Universal универсальный адгезив (2.5 мл)
50 аппликаторов
1 Clix-dish","Пять оттенков CLOUD shade перекрывают всю шкалу оттенков VITA®3, минимум оттенков экономит расходы и сокращает необходимые запасы композитов в клинике.",набор,3.0,78000.0,https://shop.stomatorg.ru/upload/iblock/9fb/727sy65s6vfecqtdjs3ow49js1d7k07m/5d659793aab240e183099cf46f7f09a7_8d06fbd77f1e4c659434e8ee3b000782_resize1.png
00000000329,Пломбировочные материалы,Световые пломбировочные материалы,Набор спектрум,Спектрум стартовый набор,набор спектрум,"Реставрации полостей всех классов передних и боковых зубов.6 шприцев х 4,5г Spectrum TPH3 различных оттенков A2/A3/A3,5/O-A2/O-A3,5/B2
=======
Инновационный инициатор фотополимеризации гарантирует абсолютную с табильность цвета реставрации во времени.",,А3.5В,Япония,Tokuyama Dental,1 шприц (4гр.),Оттенки на выбор: A1B; A2B; A3B; A3.5B; B3B; BL; NE; OcE; TE; WE; YE.,шт,1.0,25500.0,https://el-dent.ru/UserFiles/Image/img5465_30916_big.jpg
00000000327,Терапия,Пломбировочные Материалы,ESTELITE COLOR,ESTELITE COLOR GRAY,"Реставрационный материал, композит, естелайт, астерия, токуяма, пломбировачный материал, эстелайт, краска для реставрации, краска","Estelite Color — это текучий, светоотверждаемый материал для придания индивидуального оттенка при прямых и непрямых реставрациях композиционными материалами. Estelite Color наносится под или между слоями композита, используемого для реставрации. Показания:
Характеризация индивидуальных оттенков при прямой и непрямой реставрации композиционными материалами.
Маскирование изменения цвета эмали зубов.",,Gray,Япония,Tokuyama Dental,"1 шприц (0,9гр.)",Краска,шт,2.0,26500.0,https://el-dent.ru/UserFiles/Image/img6876_28768_big.jpg
00000000328,Терапия,Пломбировочные Материалы,Набор Нео Спектра,Набор Нео Спектра,"Набор нео спектра, светоотверждаемый, композитный материал","Neo Spectra ST LV - это композит низкой вязкости, имеет более пластичную консистенцию, лучше подходит для работы на фронтальных зубах (по сравнению с вязкостью HV), т.к. эта более мягкая консистенция позволяет работать мягкими инструментами (кисти, силиконовые гладилки), распределять, притирать материал и создавать гладкость, необходимую для воссоздания плоских поверхностей фронтальных зубов. Neo Spectra ™ ST LV состоит из 5 универсальных оттенков CLOUD shades (А1, А2, А3, А3,5, А4) усредненной прозрачности, которые перекрывают всю шкалу оттенков VITA® благодаря выраженному эффекту хамелеона и уникальным оптическим характеристикам. Всего 5 оттенков материала Neo Spectra ™ ST LV достаточно для эффективного эстетического решения в подавляющем большинстве клинических случаев. Дополнительный оттенок Bleach White (BW - отбеленный белый), поставляемый только в компьюлах, подходит для реставраций зубов после отбеливания. Композит Neo Spectra ™ ST LV быстро и легко полируется, обладает высокой устойчивостью к окрашиванию, обеспечивает оптимальную эстетику с доказанной долговечностью реставраций.",,"1 X A1, 1 X A2, 1 X A3, 1 X A3.5, 1 X A4 По 3 Г Каждый",Германия,Dentsply,"5 шприцов
Prime &Bond Universal универсальный адгезив (2.5мл)
50 аппликаторов,
1 Clix-dish","Пять оттенков CLOUD shade перекрывают всю шкалу оттенков VITA®3, минимум оттенков экономит расходы и сокращает необходимые запасы композитов в клинике.",набор,3.0,81200.0,https://shop.stomatorg.ru/upload/iblock/9fb/727sy65s6vfecqtdjs3ow49js1d7k07m/5d659793aab240e183099cf46f7f09a7_8d06fbd77f1e4c659434e8ee3b000782_resize1.png
00000000329,Терапия,Пломбировочные Материалы,Набор Спектрум,Спектрум стартовый набор,набор спектрум,"Реставрации полостей всех классов передних и боковых зубов.6 шприцев х 4,5г Spectrum TPH3 различных оттенков A2/A3/A3,5/O-A2/O-A3,5/B2
>>>>>>> 95c269500a505b08acd3e3d5d29b9d0d09390230
1 флакон адгезива х 4.5 мл Prime&Bond NT
50 аппликаторов
3 мл кондиционер DETREY Conditioner 36
25 аппликационных игл
<<<<<<< HEAD
1 руководство пользователя",,,США,," В наборе: 6 шприцев (6 х 4,5 грамма) с материалом Spectrum TPH-3 (A2, A3, A3.5, OA2, OA3.5, B2 – по одному каждого оттенка); адгезив Prime&Bonde (4.5 мл); кондиционер DeTrey Conditioner 36 (3мл); аппликаторы 50 штук; иглы-аппликаторы 25 штук; инструкция и руководство пользователя","Кремообразная консистенция;
Очень низкий уровень краевого расслоения;
Простая техника применения;
Универсальные показания к применению для полостей всех классов;
Легкая адаптируемость к стенкам полости",шт,1.0,67000.0,https://el-dent.ru/UserFiles/Image/img686_42944.jpg
00000000330,Пломбировочные материалы,Световые пломбировочные материалы,ESTELITE COLOR,ESTELITE COLOR CLEAR,"Реставрационный материал, композит, естелайт, астерия, токуяма, пломбировачный материал, эстелайт, краска для реставрации, краска","Estelite Color — это текучий, светоотверждаемый материал для придания индивидуального оттенка при прямых и непрямых реставрациях композиционными материалами. Estelite Color наносится под или между слоями композита, используемого для реставрации. Показания:
Характеризация индивидуальных оттенков при прямой и непрямой реставрации композиционными материалами.
Маскирование изменения цвета эмали зубов.",,Clear,Япония,Tokuyama Dental,"Шприц 0,9 гр",Краска,шт,7.0,26500.0,https://el-dent.ru/UserFiles/Image/img6882_28155.jpg
00000000331,Пломбировочные материалы,Световые пломбировочные материалы,Spectrum TPH ,Spectrum TPH 3 A1,"Спектрум А1, пломбировачный материал, композит","Spectrum TPH 3 (Спектрум) - рентгеноконтрастный фотополимеризуемый гибридный композит со сверхмелким размером частиц для изготовления реставраций во фронтальной и жевательной группах зубов. Композит выпускается в дозированных компьюлах и традиционных шприцах, и позволяет точно подбирать оттенки по шкале Vita. ""Спектрум ТРН” - универсальная композитная система с простым практическим применением. Нововведенные ключевые компоненты даже отдельно взятые, хороши как для стоматолога, так и пациента.
Практический опыт и клиническое тестирование показали, что ""Спектрум ТРН"", микрогибридный композит фирмы Дентсплай, является «идеальным» материалом для реставрации передних и боковых зубов, полностью отвечающий основным требованиям предъявляемых к данной работе:
безупречное краевое прилегание;
надежное, простое применение;
оптимальные эстетические требования.",,A1,США,Dentsply Sirona,"Шприц 4,5 гр",Варианты комплектации: Оттенки на выбор: A1; A2; A3; В2,шт,8.0,15600.0,https://shop.dentomir.ru/upload/iblock/f34/f34803f0013f984ce6b76fb017c6f588.jpg
00000000332,Пломбировочные материалы,Световые пломбировочные материалы,Каризма ,Каризма Smart 4g-А3,"Пломба, композит, реставрация","Charisma Smart  предназначен для реставрации естественными оттенками с адгезивной фиксацией. Материал подходит для реставрации как передних, так и боковых зубов.",,A3,Германия,Heraeus Kulzer,Шприц 4 гр,,шт,20.0,5900.0,https://medicom.kz/wp-content/uploads/2022/09/Charisma-%D1%88%D0%BF%D1%80%D0%B8%D1%86.jpg
00000000335,Пломбировочные материалы,Световые пломбировочные материалы,Estelite Asteria Syringe,Estelite Asteria Syringe A3B,"Реставрационный материал, композит, естелайт, астерия, токуяма, пломбировачный материал","Estelite Asteria (Эстелайт Астерия) — это светоотверждаемый, рентгеноконтрастный композиционный материал, предназначенный для использования при реставрации передних и боковых зубов. Подходит для кариозных полостей всех классов, включая реставрации, требующие минимального препарирования полости или без ее препарирования.  Показания:
=======
1 руководство пользователя",,,США,,6,"Кремообразная консистенция;
Очень низкий уровень краевого расслоения;
Простая техника применения;
Универсальные показания к применению для полостей всех классов;
Легкая адаптируемость к стенкам полости",шт,1.0,67800.0,https://el-dent.ru/UserFiles/Image/img686_42944.jpg
00000000330,Терапия,Пломбировочные Материалы,ESTELITE COLOR,ESTELITE COLOR CLEAR,"Реставрационный материал, композит, естелайт, астерия, токуяма, пломбировачный материал, эстелайт, краска для реставрации, краска","Estelite Color — это текучий, светоотверждаемый материал для придания индивидуального оттенка при прямых и непрямых реставрациях композиционными материалами. Estelite Color наносится под или между слоями композита, используемого для реставрации. Показания:
Характеризация индивидуальных оттенков при прямой и непрямой реставрации композиционными материалами.
Маскирование изменения цвета эмали зубов.",,Clear,Япония,Tokuyama Dental,"1 шприц (0,9гр.)",Краска,шт,7.0,26500.0,https://el-dent.ru/UserFiles/Image/img6882_28155.jpg
00000000331,Терапия,Пломбировочные Материалы,Spectrum TPH  А,Spectrum TPH 3 A1,"Спектрум А1, пломбировачный материал, композит","Spectrum TPH 3 (Спектрум) - рентгеноконтрастный фотополимеризуемый гибридный композит со сверхмелким размером частиц для изготовления реставраций во фронтальной и жевательной группах зубов. Композит выпускается в дозированных компьюлах и традиционных шприцах, и позволяет точно подбирать оттенки по шкале Vita. ""Спектрум ТРН” - универсальная композитная система с простым практическим применением. Нововведенные ключевые компоненты даже отдельно взятые, хороши как для стоматолога, так и пациента.
Практический опыт и клиническое тестирование показали, что ""Спектрум ТРН"", микрогибридный композит фирмы Дентсплай, является «идеальным» материалом для реставрации передних и боковых зубов, полностью отвечающий основным требованиям предъявляемых к данной работе:
безупречное краевое прилегание;
надежное, простое применение;
оптимальные эстетические требования.",1,A1,США,Dentsply Sirona,"1 шприц (4,5гр).",Варианты комплектации: Оттенки на выбор: A1; A2; A3; В2,шт,8.0,15600.0,https://shop.dentomir.ru/upload/iblock/f34/f34803f0013f984ce6b76fb017c6f588.jpg
00000000332,Терапия,Пломбировочные Материалы,Каризма A3,Каризма Smart 4g-А3,"Пломба, композит, реставрация","Charisma Smart  предназначен для реставрации естественными оттенками с адгезивной фиксацией. Материал подходит для реставрации как передних, так и боковых зубов.",,"A1, A2, A3, A3.5, B1, Dentine.",Германия,Heraeus Kulzer,Шприц 4 г.,,шт,20.0,5900.0,https://medicom.kz/wp-content/uploads/2022/09/Charisma-%D1%88%D0%BF%D1%80%D0%B8%D1%86.jpg
00000000335,Терапия,Пломбировочные Материалы,Estelite Asteria Syringe,Estelite Asteria Syringe A3B,"Реставрационный материал, композит, естелайт, астерия, токуяма, пломбировачный материал","Estelite Asteria (Эстелайт Астерия) — это светоотверждаемый, рентгеноконтрастный композиционный материал, предназначенный для использования при реставрации передних и боковых зубов. Подходит для кариозных полостей всех классов, включая реставрации, требующие минимального препарирования полости или без ее препарирования.  Показания:
>>>>>>> 95c269500a505b08acd3e3d5d29b9d0d09390230
Прямое восстановление передних и боковых зубов, включая окклюзионную поверхность зубов.
Восстановление зубов прямыми композитными винирами.
Закрытие диастемы.
Починка керамических/композитных реставраций.  Характеристики материала:
Оттенки Body превосходно гармонируют с тканями зуба при минимальной ширине эмалевого скоса и обладают достаточной опаковостью для маскировки дисколоритов.
Превосходный ""хамелеон""-эффект.
Полируемость за 60 секунд!
Запатентованная особая матрица композита обеспечивает максимальную эластичность и снижение полимеризационного стресса.
<<<<<<< HEAD
Инновационный инициатор фотополимеризации гарантирует абсолютную с табильность цвета реставрации во времени.",,А3В,Япония,Tokuyama Dental,Шприц 4 гр,Оттенки на выбор: A1B; A2B; A3B; A3.5B; B3B; BL; NE; OcE; TE; WE; YE.,шт,2.0,25500.0,https://el-dent.ru/UserFiles/Image/img5245_52193_big.jpg
00000000336,Пломбировочные материалы,Световые пломбировочные материалы,КАРИЗМА Smart 8х4 набор,Каризма Smart Gluma 2 Bond Combi Kit 8*4 gr+гл.эйтч+гл.2.бонд,"Пломба, композит, реставрация","Charisma Smart - светоотверждаемый рентгеноконтрастный гибридный композит, состоящий из частиц субмикронного размера. Он предназначен для реставрации естественными оттенками с адгезивной фиксацией. Этот материал подходит для реставрации как передних, так и боковых зубов.",,,Германия,Heraeus Kulzer,"Смарт Набор 8 шпр. по 4 гр.
=======
Инновационный инициатор фотополимеризации гарантирует абсолютную с табильность цвета реставрации во времени.",,А3В,Япония,Tokuyama Dental,1 шприц (4гр.),Оттенки на выбор: A1B; A2B; A3B; A3.5B; B3B; BL; NE; OcE; TE; WE; YE.,шт,2.0,25500.0,https://el-dent.ru/UserFiles/Image/img5245_52193_big.jpg
00000000336,Терапия,Пломбировочные Материалы,КАРИЗМА Smart 8х4 набор,Каризма Smart Gluma 2 Bond Combi Kit 8*4 gr+гл.эйтч+гл.2.бонд,"Пломба, композит, реставрация","Charisma Smart - светоотверждаемый рентгеноконтрастный гибридный композит, состоящий из частиц субмикронного размера. Он предназначен для реставрации естественными оттенками с адгезивной фиксацией. Этот материал подходит для реставрации как передних, так и боковых зубов.",,,Германия,Heraeus Kulzer,"Смарт Набор 8 шпр. по 4 гр.
>>>>>>> 95c269500a505b08acd3e3d5d29b9d0d09390230
Цвета: А1; А2х2; А3х2; А3,5, В2, dentine
+ Gluma 2Bond флакон 4 мл.
+ Gluma Etch 35 Gel шприцы 2x2.5 мл.

+ Насадки-канюли",,шт,3.0,58700.0,https://www.dentalmarket.kz/products/303/8474101699143794688%D0%A0%D0%B8%D1%81%D1%83%D0%BD%D0%BE%D0%BA1.JPG
<<<<<<< HEAD
00000000340,Пломбировочные материалы,Световые пломбировочные материалы,Estelite Asteria Syringe,Estelite Asteria Syringe A1B,"Реставрационный материал, композит, естелайт, астерия, токуяма, пломбировачный материал, эстелайт","Estelite Asteria (Эстелайт Астерия) — это светоотверждаемый, рентгеноконтрастный композиционный материал, предназначенный для использования при реставрации передних и боковых зубов. Подходит для кариозных полостей всех классов, включая реставрации, требующие минимального препарирования полости или без ее препарирования.  Показания:
=======
00000000340,Терапия,Пломбировочные Материалы,Estelite Asteria Syringe,Estelite Asteria Syringe A1B,"Реставрационный материал, композит, естелайт, астерия, токуяма, пломбировачный материал, эстелайт","Estelite Asteria (Эстелайт Астерия) — это светоотверждаемый, рентгеноконтрастный композиционный материал, предназначенный для использования при реставрации передних и боковых зубов. Подходит для кариозных полостей всех классов, включая реставрации, требующие минимального препарирования полости или без ее препарирования.  Показания:
>>>>>>> 95c269500a505b08acd3e3d5d29b9d0d09390230
Прямое восстановление передних и боковых зубов, включая окклюзионную поверхность зубов.
Восстановление зубов прямыми композитными винирами.
Закрытие диастемы.
Починка керамических/композитных реставраций.  Характеристики материала:
Оттенки Body превосходно гармонируют с тканями зуба при минимальной ширине эмалевого скоса и обладают достаточной опаковостью для маскировки дисколоритов.
Превосходный ""хамелеон""-эффект.
Полируемость за 60 секунд!
Запатентованная особая матрица композита обеспечивает максимальную эластичность и снижение полимеризационного стресса.
<<<<<<< HEAD
Инновационный инициатор фотополимеризации гарантирует абсолютную с табильность цвета реставрации во времени.",,А1В,Япония,Tokuyama Dental,Шприц 4 гр,Оттенки на выбор: A1B; A2B; A3B; A3.5B; B3B; BL; NE; OcE; TE; WE; YE.,шт,4.0,25500.0,https://el-dent.ru/UserFiles/Image/img5857_54012.jpg
00000000341,Пломбировочные материалы,Световые пломбировочные материалы,ESTELITE COLOR,ESTELITE COLOR MEDIUIM CHROMA OPAQUE,"Реставрационный материал, композит, естелайт, астерия, токуяма, пломбировачный материал, эстелайт, краска для реставрации, краска","Estelite Color — это текучий, светоотверждаемый материал для придания индивидуального оттенка при прямых и непрямых реставрациях композиционными материалами. Estelite Color наносится под или между слоями композита, используемого для реставрации. Показания:
Характеризация индивидуальных оттенков при прямой и непрямой реставрации композиционными материалами.
Маскирование изменения цвета эмали зубов.",,Mediuim Chroma Opaque,Япония,Tokuyama Dental,"Шприц 0,9 гр",Краска,шт,1.0,26500.0,https://el-dent.ru/UserFiles/Image/img6876_28768_big.jpg
00000000342,Пломбировочные материалы,Световые пломбировочные материалы,ESTELITE QUICK набор,ESTELITE QUICK Kit,"Реставрационный материал, композит, естелайт, астерия, токуяма, пломбировачный материал, эстелайт, квик, сигма квик","Estelite Sigma Quick (Эстелайт Сигма Квик) - последняя разработка компании Tokuyama Dental в реставрационных материалах. Полностью сохранив все достоинства своего предшественника - Estelite Sigma, новый материал Эстелайт приобрел ряд свойств, еще более облегчающих труд стоматолога. 
=======
Инновационный инициатор фотополимеризации гарантирует абсолютную с табильность цвета реставрации во времени.",,А1В,Япония,Tokuyama Dental,1 шприц (4гр.),Оттенки на выбор: A1B; A2B; A3B; A3.5B; B3B; BL; NE; OcE; TE; WE; YE.,шт,4.0,25500.0,https://el-dent.ru/UserFiles/Image/img5857_54012.jpg
00000000341,Терапия,Пломбировочные Материалы,ESTELITE COLOR,ESTELITE COLOR MEDIUIM CHROMA OPAQUE,"Реставрационный материал, композит, естелайт, астерия, токуяма, пломбировачный материал, эстелайт, краска для реставрации, краска","Estelite Color — это текучий, светоотверждаемый материал для придания индивидуального оттенка при прямых и непрямых реставрациях композиционными материалами. Estelite Color наносится под или между слоями композита, используемого для реставрации. Показания:
Характеризация индивидуальных оттенков при прямой и непрямой реставрации композиционными материалами.
Маскирование изменения цвета эмали зубов.",,Mediuim Chroma Opaque,Япония,Tokuyama Dental,"1 шприц (0,9гр.)",Краска,шт,1.0,26500.0,https://el-dent.ru/UserFiles/Image/img6876_28768_big.jpg
00000000342,Терапия,Пломбировочные Материалы,ESTELITE QUICK набор,ESTELITE QUICK Kit,"Реставрационный материал, композит, естелайт, астерия, токуяма, пломбировачный материал, эстелайт, квик, сигма квик","Estelite Sigma Quick (Эстелайт Сигма Квик) - последняя разработка компании Tokuyama Dental в реставрационных материалах. Полностью сохранив все достоинства своего предшественника - Estelite Sigma, новый материал Эстелайт приобрел ряд свойств, еще более облегчающих труд стоматолога. 
>>>>>>> 95c269500a505b08acd3e3d5d29b9d0d09390230
Подходит для реставраций как фронтальных, так и боковых групп зубов.
Простота и удобство в работе.
Эстелайт устойчив к свету рабочего светильника (до 90 сек.).
Удобная пластичная консистенция.
Эстелайт не липнет ни к металлическому, ни к пластиковому инструменту.
Выраженный «эффект хамелеона» упрощает и облегчает подбор оттенка реставрации.
Наличие опалесцентных оттенков, имитирующих оптические свойства всей толщи зуба.
Эстелайт не меняет цвета после полимеризации.  Оттенки на выбор:
Эмалевые оттенки: А1; А2; A3; А3.5; А4; А5; B1; B2; B3; B4; C1; C2; C3; CE (прозрачный) и WE (для отбеленных зубов).
Основные оттенки: ОА1; OA2; ОА3 и BW.
Универсальный опак: ОРА2.",,,Япония,Tokuyama Dental,6 шприцов по 4гр. (А2 А3 ОА1 ОА2 ОА3 ОРА2),"Квик, естелайт, астерия",набор,14.0,108700.0,https://el-dent.ru/UserFiles/Image/img3526_29549_big.jpg
<<<<<<< HEAD
00000000343,Пломбировочные материалы,Световые пломбировочные материалы,ESTELITE QUICK,ESTELITE QUICK OPA2,"Реставрационный материал, композит, естелайт, астерия, токуяма, пломбировачный материал, эстелайт, квик, сигма квик","Estelite Sigma Quick (Эстелайт Сигма Квик) - последняя разработка компании Tokuyama Dental в реставрационных материалах. Полностью сохранив все достоинства своего предшественника - Estelite Sigma, новый материал Эстелайт приобрел ряд свойств, еще более облегчающих труд стоматолога. 
=======
00000000343,Терапия,Пломбировочные Материалы,ESTELITE QUICK,ESTELITE QUICK OPA2,"Реставрационный материал, композит, естелайт, астерия, токуяма, пломбировачный материал, эстелайт, квик, сигма квик","Estelite Sigma Quick (Эстелайт Сигма Квик) - последняя разработка компании Tokuyama Dental в реставрационных материалах. Полностью сохранив все достоинства своего предшественника - Estelite Sigma, новый материал Эстелайт приобрел ряд свойств, еще более облегчающих труд стоматолога. 
>>>>>>> 95c269500a505b08acd3e3d5d29b9d0d09390230
Подходит для реставраций как фронтальных, так и боковых групп зубов.
Простота и удобство в работе.
Эстелайт устойчив к свету рабочего светильника (до 90 сек.).
Удобная пластичная консистенция.
Эстелайт не липнет ни к металлическому, ни к пластиковому инструменту.
Выраженный «эффект хамелеона» упрощает и облегчает подбор оттенка реставрации.
Наличие опалесцентных оттенков, имитирующих оптические свойства всей толщи зуба.
Эстелайт не меняет цвета после полимеризации.  Оттенки на выбор:
Эмалевые оттенки: А1; А2; A3; А3.5; А4; А5; B1; B2; B3; B4; C1; C2; C3; CE (прозрачный) и WE (для отбеленных зубов).
Основные оттенки: ОА1; OA2; ОА3 и BW.
<<<<<<< HEAD
Универсальный опак: ОРА2.",,Opa2,Япония,Tokuyama Dental,Шприц 4 гр,"Квик, естелайт, астерия",шт,14.0,17400.0,https://el-dent.ru/UserFiles/Image/img3782_18913_big.jpg
00000000344,Пломбировочные материалы,Световые пломбировочные материалы,Filtek Z550 набор,Filtek Z550 набор,"Реставрационный материал, композит, пломбировачный материал, филтек","Универсальный наногибридный реставрационный материал Filtek™ Z550 является светоотверждаемым наногибридным композитным материалом, предназначенным для восстановления передней и боковой групп зубов. Материал используется совместно со стоматологическим адгезивом. Данный композитный материал выпускается в 12 оттенках, два из которых являются опаковыми. Все оттенки рентгеноконтрастные и флуоресцентные. Материал выпускается в шприцах. РЕКОМЕНДУЕМЫЕ ОБЛАСТИ ПРИМЕНЕНИЯ:
=======
Универсальный опак: ОРА2.",,Opa2,Япония,Tokuyama Dental,1 шприц (4гр.),"Квик, естелайт, астерия",шт,14.0,17400.0,https://el-dent.ru/UserFiles/Image/img3782_18913_big.jpg
00000000344,Терапия,Пломбировочные Материалы,Filtek Z550 набор,Filtek Z550 набор,"Реставрационный материал, композит, пломбировачный материал, филтек","Универсальный наногибридный реставрационный материал Filtek™ Z550 является светоотверждаемым наногибридным композитным материалом, предназначенным для восстановления передней и боковой групп зубов. Материал используется совместно со стоматологическим адгезивом. Данный композитный материал выпускается в 12 оттенках, два из которых являются опаковыми. Все оттенки рентгеноконтрастные и флуоресцентные. Материал выпускается в шприцах. РЕКОМЕНДУЕМЫЕ ОБЛАСТИ ПРИМЕНЕНИЯ:
>>>>>>> 95c269500a505b08acd3e3d5d29b9d0d09390230
Прямая реставрация фронтальных и жевательных зубов, включая окклюзионную поверхность.
Надстройка культи.
Шинирование.
Непрямая реставрация зубов, включая вкладки, накладки и виниры.",,,США,3M Espe,"8 шприцев (по 4 г): А1, А2, АЗ, АЗ.5, ВЗ, С2, D3, OА2.
1 флакон с адгезивом Adper™ Single Bond 2 (6 мл).
1 шприц с протравочным гелем Scotchbond (3 мл).
25 наконечников-аппликаторов для дозатора с протравочным гелем.
25 одноразовых кисточек.
1 держатель для кисточки.
1 поддончик для адгезива.","Филтек, пломбировачный материал, реставрация",набор,,151000.0,https://el-dent.ru/UserFiles/Image/img3613_15458_big.jpg
<<<<<<< HEAD
00000000345,Пломбировочные материалы,Пломбировочные материалы,Palfique Estelite А3.5,Palfique Estelite А3.5,"Палфик естелайт, пломбировачный материал, реставрационный материал, астериа естелайт, композит","Palfique Estelite Paste (Палфик Эстелайт Паста) - обладает выраженным блеском, легкой полируемостью и высокой устойчивостью к истиранию. Высокая степень наполненности Palfique Estelite Paste обеспечивает низкий уровень полимеризационного стресса и хорошие прочностные характеристики для восстановления окклюзионной поверхности боковых зубов и области контактных пунктов. Выраженный ""хамелеон-эффект"". Показания:
Прямое восстановление фронтальных и жевательных зубов, включая окклюзионную поверхность и область контактного пункта.",,A3.5,Япония,Tokuyama Dental,"Шприц (3,8гр).",Оттенки на выбор: A1; A2; A3; A3.5; B2; OA2; OA3.,шт,12.0,9950.0,https://shop.dentomir.ru/upload/iblock/dad/dad59ea36ef67f697e95d6647be82d90.png
00000000346,Пломбировочные материалы,Пломбировочные материалы,Spectrum TPH,Spectrum TPH 3 B2,"Спектрум В2, пломбировачный материал, композит","Spectrum TPH 3 (Спектрум) - рентгеноконтрастный фотополимеризуемый гибридный композит со сверхмелким размером частиц для изготовления реставраций во фронтальной и жевательной группах зубов. Композит выпускается в дозированных компьюлах и традиционных шприцах, и позволяет точно подбирать оттенки по шкале Vita. ""Спектрум ТРН” - универсальная композитная система с простым практическим применением. Нововведенные ключевые компоненты даже отдельно взятые, хороши как для стоматолога, так и пациента.
Практический опыт и клиническое тестирование показали, что ""Спектрум ТРН"", микрогибридный композит фирмы Дентсплай, является «идеальным» материалом для реставрации передних и боковых зубов, полностью отвечающий основным требованиям предъявляемых к данной работе:
безупречное краевое прилегание;
надежное, простое применение;
оптимальные эстетические требования.",,B2,США,Dentsply Sirona,Шприц 4 гр,Варианты комплектации: Оттенки на выбор: A1; A2; A3; В2,шт,4.0,11100.0,https://shop.dentomir.ru/upload/iblock/f34/f34803f0013f984ce6b76fb017c6f588.jpg
00000000347,Пломбировочные материалы,Пломбировочные материалы,EsCom 100 набор (4грх5шпр),EsCom 100 (4грх5шпр),"Еском набор, пломбировачный материал, реставрационный материал, твердый композит","EsCom 100 (Малый набор Эском 100) - наногибридный композиционный материал, подходит для всех полостей фронтальных и боковых зубов. Особенности препарата:
=======
00000000345,Терапия,Пломбировочные Материалы,Palfique Estelite А3.5,Palfique Estelite А3.5,"Палфик естелайт, пломбировачный материал, реставрационный материал, астериа естелайт, композит","Palfique Estelite Paste (Палфик Эстелайт Паста) - обладает выраженным блеском, легкой полируемостью и высокой устойчивостью к истиранию. Высокая степень наполненности Palfique Estelite Paste обеспечивает низкий уровень полимеризационного стресса и хорошие прочностные характеристики для восстановления окклюзионной поверхности боковых зубов и области контактных пунктов. Выраженный ""хамелеон-эффект"". Показания:
Прямое восстановление фронтальных и жевательных зубов, включая окклюзионную поверхность и область контактного пункта.",,A3.5,Япония,Tokuyama Dental,"Шприц (3,8гр).",Оттенки на выбор: A1; A2; A3; A3.5; B2; OA2; OA3.,шт,12.0,9950.0,https://shop.dentomir.ru/upload/iblock/dad/dad59ea36ef67f697e95d6647be82d90.png
